icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
a1226b,1662034693.0,,1662036530,,UPS312  ,KSAT,,,,A300 F4-622R,A306,N172UP
a163c2,1662073242.0,,1662076109,,SKW3383 ,KSAN,,,,ERJ 170-200 LR,E75L,N189SY
a1b8b8,1662034720.0,,1662039465,,AMF1650 ,MI10,,,,1900C,B190,N21RZ
a480c4,1662068450.0,,1662076513,,N39DJ   ,,,KSGR,,525B,,N39DJ
a50734,1662037335.0,,1662038357,,EMD1    ,KMKC,,,,B200,BE20,N423EM
a570b1,1662038481.0,,1662039389,,N45KN   ,,,OI46,,HAWKER 800XP,H25B,N45KN
a5a4a6,1662055616.0,,1662065662,,N4629K  ,61NK,,,,,,
a77a51,1662033579.0,,1662035209,,LN581HC ,,,KSLC,,525C,C25C,N581HC
aa5694,1662070435.0,,1662076724,,UAL2582 ,,,KDWH,,737-824,B738,N76508
aa6ed1,1662048257.0,,1662056285,,AAL1972 ,KPHX,,K3Y3,,A319-112,A319,N771XF
ac4361,1662060956.0,,1662062542,,N89EB   ,KPOC,,CL74,,LANCAIR,,N89EB
c05fca,1662052793.0,,1662055913,,CGKHD   ,CYEG,,,,B300 (Beech),C560,C-GKHD
c828ef,1662074734.0,,1662076764,,ZKJCJ   ,NZWB,,NZCH,,Bombardier Challenger 604,CL60,ZK-JCJ
152060,1662056591.0,,1662064577,,SVR226  ,ULLI,,,,Airbus A320-214,A320,RA-73824
151e15,1662026078.0,,1662034825,,PBD348  ,,,,,Boeing 737-8LJ ,B738,RA-73237
0b418e,1662067762.0,,1662068411,,TGU150  ,MGGT,,,,,,
0d0aa8,1661999725.0,,1662008390,,VTM122  ,,,,,McDonnell Douglas MD-83(SF),MD83,XA-UZI
43ea45,1662029751.0,,1662035475,,MDMBP   ,EIDW,,,,Learjet 40 XR,LJ40,M-DMBP
4948b5,1662032823.0,,1662038226,,JME515U ,,LEVC,,LEIB,Bombardier Global Express,GLEX,CS-REU
508405,1662064180.0,,1662076478,,TWI146  ,,,EETN,,B737-800,B738,UR-SQC
4ca80f,1662062692.0,1662061779.0,1662073016,,RYR7AT  ,LFOB,LFOB,,GMMX,BOEING 737-8AS,B738,EI-EKO
710024,1662051706.0,,1662056173,,HZSKY4  ,OMDB,,,,ACJ319 115XSL,A319,HZ-SKY4
7100bd,1662060197.0,,1662064709,,SVA595  ,OMDB,,,,A330 343E,A333,HZ-AQ19
758226,1662071003.0,,1662072269,,CEB357  ,RPLL,,,,A320 214,A320,RP-C3265
7586ff,1662069247.0,,1662070822,,CEB623  ,RPLL,,,,Airbus A320-271N,A20N,RP-C4132
778741,1662028558.0,,1662031554,,SYR516  ,OMDB,,,,A340 312,A343,YK-AZA
781392,1661994816.0,,1661997977,,CES7133 ,,,,,Airbus A330-343,A333,B-1066
7817b7,1662020031.0,,1662021563,,CSN3062 ,,,,,A350-941,A359,B-30AL
8014bc,1662053105.0,,1662065547,,IGO1714 ,OTHH,,,,Airbus A320-251N,A20N,VT-IIR
800c0a,1662042425.0,,1662044395,,LLR882  ,,,,,ATR 72 600,AT76,VT-RKD
800da1,1662044703.0,,1662048221,,VTI824  ,VOMM,,,,Boeing 737-8AL,B738,VT-TGA
7c2bee,1662068317.0,,1662069569,,JTE936D ,YPPH,,,,,,
8a04e4,1662023724.0,,1662024411,,BTK7151 ,,,,,737NG 8GP/W,B738,PK-LBW
8a08e0,1662034272.0,,1662038067,,SJV889  ,,,,,Airbus A320-232,A320,PK-SJW
a133b0,1662035802.0,,1662040243,,FDX830  ,KMCO,,,,767-300F,,N177FE
a13b10,1662060765.0,,1662068429,,PJC17   ,KAPA,,KTVL,,525B,,N179ER
a2301a,1662059893.0,,1662062189,,N240BB  ,KADS,,,,Cessna 525 CitationJet CJ1,C525,N240BB
a373b2,1662074961.0,,1662076311,,N321TB  ,KASH,,KSFM,,A36,,N321TB
a57d52,1662045912.0,,1662047953,,ASA784  ,KSEA,,,,737-990ER,B739,N453AS
a70bc9,1662070485.0,,1662076584,,JIA5646 ,KCLT,,,,CL-600-2D24,CRJ9,N553NN
aa2a7f,1662064486.0,,1662066924,,SKW9901 ,AR55,,,,CL-600-2C10,CRJ7,N754SK
ab7334,1662072225.0,,1662076528,,JRE837  ,KLCI,,JY04,,560XL,C56X,N837JS
ac8543,1662072760.0,,1662073768,,N9058V  ,KAPA,,8CO4,,M20F,,N9058V
ad84ba,1662060699.0,,1662062426,,N970MB  ,KBDU,,CO07,,,,N970MB
acd4e1,1662073101.0,,1662076597,,N926EJ  ,K6G0,,KVLL,,KITFOX V,,N926EJ
ae4e9b,1662058490.0,,1662059775,,BB177   ,KGZH,,,,T-6B Texan II,TEX2,166178
c07b39,1662074323.0,,1662076559,,QUE10   ,,,CYUL,,CL600-2B16 (Series 601-3R) (Canadair),CL61,C-GURG
e47ecd,1662067090.0,,1662070499,,GLO9104 ,SBGL,,,,737NG 8EH/W,B738,PR-GTA
152040,1662058822.0,,1662063458,,SVR8427 ,UUBW,,,,A321-211,A321,RA-73792
0a008e,1662033560.0,1662033561.0,1662039449,,DAH1113 ,LFPO,LFPO,,DAAE,737NG 8D6/W,B738,7T-VKO
440031,1662062424.0,1662062425.0,1662067214,,EJU782L ,LIMC,LIMC,,LICC,,,
46b828,1662068785.0,,1662071008,,AEE930  ,LGAV,,,,,,
4a068c,1662059741.0,,1662062446,,ROT629R ,LROP,,,,ATR 72-600,AT72,yr-atl
4bb2aa,1662063462.0,,1662064738,,THY3KP  ,LTFJ,,,,,,
4d20e5,1662040833.0,,1662050605,,HAT2200 ,LOWW,,,,737 436,B734,9H-ZAZ
4d234a,1662054376.0,,1662062364,,RYR71XM ,GMME,,,,Boeing 737 MAX 8-200,B38M,9H-VUK
4cacf3,1662073398.0,,1662074646,,AMX543  ,,,,,Boeing 737 MAX 8,B38M,EI-GZA
600851,1662021823.0,,1662030380,,AHY182  ,UUDD,,,,767 32LER,B763,4K-AZ81
704009,1662021891.0,,1662022578,,MMA759  ,,,,,Airbus A320-214,A320,XY-ALJ
71bd24,1662060770.0,,1662061377,,KAL881  ,RKSI,,,,A330 322,A333,HL7524
758404,1662066497.0,,1662068148,,PAL1809 ,RPLL,,,,A321 231SL,A321,RP-C9929
780af2,,,1661993901,,CSN6180 ,,,,,A320 232,A320,B-9931
781a8e,1662066083.0,,1662070088,,YZR7912 ,RCTP,,,,Boeing 757-28A(PCF),B752,B-220J
800ce8,1662032098.0,,1662034379,,VTI622  ,,,,,Airbus A320-251N,A20N,VT-ATV
896179,1662011633.0,,1662067795,,UAE78FH ,OMDB,,,,777 21HLR,B77L,A6-EWG
896333,1662064175.0,,1662072639,,FDB337  ,OMDB,,,,737NG 8KN/W,B738,A6-FEB
7c43f9,1662074985.0,,1662076794,,NPN     ,YKTN,,YMEN,,DA 40,DA40,VH-NPN
8a08c0,1662014203.0,,1662029849,,SJV865  ,,,,,Airbus A320-232,A320,PK-SJS
a13af4,1662058345.0,,1662076319,,DAL487  ,KSFO,,KJFK,,767-332,B763,N179DN
a1d45a,1662069889.0,,1662076319,,RPA5752 ,KLGA,,KBNA,,ERJ 170-200 LR,,N217JQ
a38ac4,1662074564.0,,1662076463,,N32702  ,KNEW,,K66Y,,,,
a49662,1662070569.0,,1662076797,,N395LM  ,,,KUES,,SR22,,N395LM
a68010,1661994583.0,,1661998577,,N518KH  ,77CA,,,,GULFSTREAM G150,,N518KH
a68e8b,1662070444.0,,1662076139,,VOI319  ,MGGT,,,,A320-233,A320,N521VL
a5b923,1662036405.0,,1662037062,,UPS390  ,KMIA,,,,757-24APF,B752,N468UP
a7a557,1662029959.0,,1662031545,,FDX9077 ,KOAK,,,,MD-11F,MD11,N592FE
a97083,1661997723.0,,1661998702,,N707W   ,KSNA,,KPSP,,560,C560,N707W
ab7b99,1661991741.0,,1661993997,,GAJ839  ,KMCC,,,,B300,B350,N839UP
adbe39,1662039529.0,,1662041623,,PCM8655 ,KSMF,,,,208 B,C208,N985FE
c063ce,1662056048.0,,1662057658,,CWA921  ,CYEG,,,,B200GT (Beech),,C-GLUR
e48698,1662064929.0,,1662066687,,PPKYK   ,,,,,Citation CJ2+,C25A,PP-KYK
02a193,1662070636.0,,1662074147,,TAR813  ,,DTTA,,HECA,A320 214,A320,TS-IMT
0d07b3,1662005002.0,,1662009329,,VOI810  ,MMTJ,,,,A320 233SL,A320,XA-VOZ
0d09b1,1662066791.0,,1662068454,,VIV1093 ,,,,,A320 232SL,A320,XA-VAV
42479d,1662064406.0,,1662065480,,KNE703  ,OEDF,,,,A320 214,A320,VP-CYD
471fa5,1662064195.0,,1662068571,,WZZ1346 ,LEIB,,,,,,
4baa64,1662055213.0,,1662056847,,THY8MJ  ,LTFM,,,,A321 231,A321,TC-JSD
4d20ec,1662039652.0,,1662041156,,VJT850  ,,LIEO,,LEPA,Global 6000,GL6T,9H-VJM
71c302,1662073894.0,,1662075463,,JJA260  ,RKSS,,,,,,
7583e8,1662071404.0,,1662072831,,CEB821  ,RPLL,,,,A320 214SL,A320,RP-C4107
78008c,1662073795.0,,1662074434,,CSN6583 ,,,,,A321 231,A321,B-6343
80140a,1662045220.0,,1662052799,,IGO5319 ,,,,,Airbus A320-251N,A20N,VT-ISS
8013a3,1662046938.0,,1662051056,,VTI973  ,VIDP,,,,A320-251N,A20N,VT-TNU
8013e7,1662054671.0,,1662055795,,IGO383  ,,,,,Airbus A320-271N,A20N,VT-ISJ
8678e2,1662072014.0,,1662076768,,ANA50   ,,,RJTT,,777 281ER,B772,JA716A
8964d1,1662055548.0,,1662056784,,FDB1721 ,OMDB,,,,737-8 MAX,B38M,A6-FMB
89900d,1662020029.0,,1662022047,,EVA392  ,,,,,777 300ER,B77W,B-16739
89912e,1661990712.0,,1662035603,,CAL005  ,KLAX,,,,,,
7c2bf6,1662073925.0,,1662075616,,JTE137D ,YPPH,,,,De Havilland Canada Dash 8-400,DH8D,VH-IYW
7c4400,1662074699.0,,1662076060,,NWK1612 ,YPPH,,,,F28MK0100,F100,VH-NPU
7c7799,1662073734.0,,1662075446,,UTY3402 ,YPPH,,,,F100,F100,VH-XWR
a2644a,1662073467.0,,1662076655,,SKW4114 ,,,KMSP,,ERJ 170-200 LR,E75L,N253SY
a32fa7,1662069834.0,,1662073821,,AAL2179 ,KJFK,,,,737-8,B38M,N304RB
a395d2,1662059327.0,,1662060687,,N330AC  ,KDAY,,,,390,PRM1,N330AC
a50316,1662071645.0,,1662076646,,NJM422  ,KFTY,,KMDW,,45,LJ75,N422AJ
a506ce,1662073795.0,,1662074943,,N423AK  ,,,,,CL-600-2B16,CL61,N423AK
a4bb8a,1662045145.0,,1662047230,,AAL31   ,KLAX,,,,A321-253NX,,N404AN
a65408,1662071248.0,,1662076795,,AAL2652 ,KDFW,,KDEN,,A321-231,A321,N507AY
a70ee6,1662073239.0,,1662076594,,GJS4448 ,MA72,,KEWR,,CL-600-2C11,,N554GJ
a80874,1662075824.0,,1662076485,,N61676  ,01VA,,KJYO,,172M,,N61676
a7c3c9,1662074763.0,,1662076384,,N6NR    ,KMGM,,KJKA,,HAWKER 800XP,H25B,N6NR
aacd50,1662048303.0,,1662050035,,UAL1295 ,KLAX,,,,737-824,B738,N79521
ac7452,1662073635.0,,1662076464,,EJA901  ,KBED,,KTEB,,680A,,N901QS
ad084e,1662049263.0,,1662050855,,NKS401  ,KFLL,,,,A320-271N,,N939NK
c055f5,1662068242.0,,1662070154,,JZA549  ,CYHZ,,,,DHC-8-402 (Dehavilland),DH8D,C-GGOI
c04ddc,1662056048.0,,1662070521,,WSW315  ,CYYZ,,,,737-8CT (Boeing),B738,C-GDMP
c82757,1662056578.0,,1662057567,,ANZ942  ,NZAA,,,,Airbus A321-271NX,A21N,ZK-NNC
e4943e,1662035103.0,,1662036265,,GLO1726 ,SBBR,,,,Boeing 737 MAX 8,B38M,PR-XMD
001085,1662016726.0,,1662035198,,TB2 T304,,,,,,,
151daf,1662064595.0,,1662068337,,AFL1746 ,UUEE,,,,777-3M0(ER) ,B77W,RA-73135
0d04ae,1662069838.0,,1662070811,,SLI2587 ,,,,,EMB-190 LR,E190,XA-FAC
300164,1662063371.0,,1662064126,,ITY1267 ,LIRF,,,,A319 112,A319,I-BIMA
4ba9c9,1662064246.0,,1662069989,,THY8TN  ,,,OJAM,,A330 343E,A333,TC-JNI
4d20e3,1662041327.0,,1662043703,,VJT534  ,,,,,Challenger 605,CL65,9H-VFH
4ca6a9,1662051912.0,,1662056456,,RYR496K ,EBCI,,,,BOEING 737-8AS,B738,EI-DYV
710123,1662048287.0,,1662065959,,FAD914  ,,,,,A320 214SL,A320,HZ-FAA
789213,1662033628.0,,1662075203,,CPA216  ,EGCC,,,,Airbus A350-1041,A35K,B-LXA
8005ed,1662055254.0,,1662072891,,AIC380  ,VIDP,,,,787 8,B788,VT-ANC
800b0b,1662048651.0,,1662053003,,GOW275  ,VIDP,,,,A320 214SL,A320,VT-GOQ
800ce6,1662056740.0,,1662059189,,GOW399  ,VOBL,,,,Airbus A320-271N,A20N,VT-WGS
8881ad,1661990836.0,,1661993099,,VJC865  ,,,,,Airbus A321-271NX,A21N,VN-A533
894076,1662065745.0,,1662069203,,GFA056  ,OBBI,,,,A321 231,A321,A9C-CC
896496,1662064589.0,,1662065458,,ABY481  ,OMSJ,,,,A320 214SL,A320,A6-AOP
899125,1662010059.0,,1662019464,,CAL101  ,,,,,A350 941,A359,B-18908
7c534f,1662071052.0,,1662072791,,QQP     ,YPPH,,,,De Havilland Canada Dash 8-300,DH8C,VH-QQP
a02e0a,1662070593.0,,1662073248,,AAL1497 ,KDFW,,,,A320-214,A320,N110UW
a08f0f,1662069738.0,,1662076780,,N135PF  ,,,KDPA,,PC-12/47E,,N135PF
a2cc46,1662067599.0,,1662076457,,N28GP   ,KMSN,,KMCO,,680A,C68A,N28GP
a47227,1662068712.0,,1662076268,,LXJ386  ,,,KLGA,,EMB-505,,N386FX
a487ef,1662072041.0,,1662076543,,EJA391  ,KMKC,,,,EMB-505,E55P,N391QS
a3d3d6,1662037619.0,,1662038607,,N346CM  ,KEDC,,,,45,LJ75,N346CM
a55d5e,1662070084.0,,1662076469,,N445BW  ,KTIW,,KSHN,,172R,,N445BW
a64673,1662045819.0,,1662056815,,N503Q   ,KSNS,,,,Falcon 900LX,F9LX,N503Q
a80590,1662075501.0,,1662076242,,N616FL  ,KLHQ,,KI86,,PA-28-140,,N616FL
a99686,1662063847.0,,1662068717,,SKW213X ,KPHX,,,,CL-600-2C10,CRJ7,N717EV
ab351a,1662026244.0,,1662027533,,TSU069  ,KMSP,,,,CL-600-2B19,CRJ2,N821FL
aaa125,1662004357.0,,1662035786,,UAL149  ,KEWR,,SDTB,,777-222,B772,N784UA
ac763e,1662061930.0,,1662069963,,AAL766  ,KDFW,,,,A319-115,A319,N9017P
ad03e2,1662004630.0,,1662007142,,FDX1305 ,,,,,757-23A,B752,N938FD
ace721,1662051794.0,,1662055399,,N930RA  ,KPWA,,,,TBM 700,TBM9,N930RA
c07607,1662069623.0,,1662072654,,CGSSC   ,CYVR,,,,Cessna 208,C208,C-GSSC
c2b3d7,1662033461.0,,1662037188,,CFC4031 ,CYTR,,,,CC-177 Globemaster III,C17,177701
e0648b,1662069066.0,,1662070209,,ARG1784 ,SABE,,,,737NG 8BK/W,B738,LV-FRK
e095d0,1662041056.0,,1662047352,,LVIWP   ,,,SDWL,,,E35L,LV-IWP
02a0ac,1662063168.0,1662063169.0,1662068255,,TAR721  ,LFPO,LFPO,,DTTA,A330 243,A332,TS-IFM
04c277,1661997933.0,,1661999745,,DAO189  ,OMDB,,,,B737-46M,B734,5Y-FQB
06a097,1662072464.0,,1662075179,,QTR34N  ,OTHH,,,,A320 232SL,A320,A7-AHP
151dea,1662058239.0,,1662071107,,SDM6541 ,ULLI,,,,A320-214 ,A320,RA-73194
0d0890,1662062548.0,,1662063923,,SLI2099 ,,,,,ERJ-190AR (190-100IGW),E190,XA-GAR
0d0ac1,1662071633.0,,1662072359,,SLI2598 ,,,,,,,
39644c,1662044135.0,1662044086.0,1662051735,,AFR704  ,LFPG,LFPG,,DIAP,A330 203,A332,F-GZCM
44cdc5,1662052724.0,,1662062959,,BEL4KZ  ,EBBR,,,,A320 214,A320,OO-SNE
4952a2,1662051970.0,1662051971.0,1662076378,1662076377.0,TAP209F ,LPPT,LPPT,KJFK,KJFK,A330-941,A339,CS-TUB
4a08ec,1662068787.0,,1662076769,,ROT154D ,LLBG,,LROP,,737-800,B738,YR-BGL
4ac9e5,1662066509.0,1662066510.0,1662068480,,SAS026  ,ESSA,ESSA,,ESNU,Airbus A320 251NSL,A20N,SE-ROE
4bab26,1662075419.0,,1662076417,,THY1KD  ,,,,,737NG 9F2ER/W,B739,TC-JYF
4bc84d,1662068713.0,,1662069855,,PGT860  ,LTFJ,,,,,,
4cab69,1662073749.0,1662073750.0,1662076613,,MSA83E  ,LIPO,LIPO,,LIEE,Boeing 737-490(SF),B734,EI-GUA
70aa71,1662030874.0,,1662033556,,RNA218  ,VIDP,,,,Airbus A330-243,A332,9N-ALZ
780c43,1662038111.0,,1662038900,,CCA1329 ,,,,,A330 343E,A333,B-5946
846250,1662073583.0,,1662076705,,ADO100  ,,,RJSS,,737NG 781/W,B737,JA12AN
845b9c,1662071408.0,,1662073390,,FDA341  ,RJNA,,,,EMB-175 200LR,E75L,JA10FJ
861f22,1662034654.0,,1662035268,,JAL784  ,,,,,767 346ER/W,B763,JA616J
861ede,1662073656.0,,1662076781,,JAL585  ,RJTT,,,,767 346ER,B763,JA614J
7c627b,1662072762.0,,1662075735,,QLK51   ,YMML,,,,DHC-8 315Q,DH8C,VH-TQL
8a08ac,1662019923.0,,1662025319,,TGN931  ,WIII,,,,Boeing 737-330(QC),B733,PK-YSV
a03f48,1662059736.0,,1662062539,,FDX26   ,RJBB,,,,767-3S2F,B763,N115FE
a116a2,1662056662.0,,1662058012,,N1698W  ,KAUN,,KTVL,,V35B,,N1698W
a145b7,1662071295.0,,1662076641,,EDV5175 ,KLGA,,KCVG,,CL-600-2D24,CRJ9,N181PQ
a2251c,1662073660.0,,1662075490,,N23717  ,KO41,,,,A36,,N23717
a2594e,1662022179.0,,1662024441,,UPS1442 ,KSDF,,,,MD-11F,MD11,N250UP
a2b8fe,1662016199.0,,1662025586,,UAL871  ,,,,,777-300ER,,N2749U
a2ae0a,1662067188.0,,1662076706,,N272BG  ,,,KHHR,,GV-SP (G550),,N272BG
a2e615,1662021978.0,,1662023633,,UPS1384 ,KSDF,,,,MD-11F,MD11,N286UP
a43fdd,1662037325.0,,1662040917,,SKQ78   ,KOSU,,,,PC-12/45,PC12,N373KM
a577a3,1662028955.0,,1662031581,,UPS712  ,KHSV,,,,757-24APF,B752,N451UP
a675e8,1662065869.0,,1662067074,,VOI635  ,,,,,A320-233,A320,N515VL
a6b784,1662049344.0,,1662066494,,N5317U  ,KGYR,,,,A319-111,,N5317U
a8138e,1661992690.0,,1661994244,,N6197V  ,KPWA,,,,C90GT,BE9L,N6197V
a9942e,1662046490.0,,1662076523,,AAL2547 ,KLAX,,KLAX,,A319-112,A319,N716UW
aa4978,1662039283.0,,1662042470,,PCM8711 ,KOAK,,,,208B,C208,N762FE
aa8b40,1662064910.0,,1662066028,,JBU1175 ,KFLL,,,,A320-232,A320,N779JB
ab1864,1662046206.0,,1662048984,,N814BU  ,KSNA,,,,BD-700-2A12,,N814BU
ab3525,1662065358.0,,1662072233,,MTN8378 ,KIND,,,,ATR 72-212,AT73,N821FX
abafff,1662069816.0,,1662073345,,AAL1467 ,KDFW,,,,737-823,B738,N852NN
abc40d,1662071163.0,,1662076293,,SWA49   ,KDEN,,KDAL,,737-800,B738,N8572X
ad1983,1662060495.0,,1662061454,,NKS3117 ,KMIA,,,,A320-271N,,N943NK
acd53f,1662039819.0,,1662043105,,N926JC  ,,,,,FALCON 2000,,N926JC
c02e39,1662043867.0,,1662066627,,NCB2048 ,CYKA,,,,1900D (Beech),B190,C-FRNC
e8033c,1662068628.0,,1662070602,,SKX5365 ,,,,,Airbus A320-251N,A20N,CC-DBF
06a03d,1662051089.0,,1662053936,,QTR516  ,OTHH,,,,Airbus A330 302,A333,A7-AED
151df5,1662062809.0,,1662072805,,SDM6471 ,ULLI,,,,Airbus A319-111,A319,RA-73205
401759,1662018537.0,,1662022378,,GAVYT   ,EGNE,,,,PIPER PA-28R-180 Cherokee Arrow,P28R,G-AVYT
4690e2,1662055196.0,,1662062148,,AEE405  ,EDDM,,,,A320 232,A320,SX-DGB
471f8f,1662058233.0,,1662060399,,WZZ10BM ,LIPH,,,,A320 232SL,A320,HA-LYT
507c54,1662061244.0,,1662065219,,UZB614  ,UUDD,,,,B787-8,,UK-78704
4ba8cd,1662070773.0,,1662073766,,THY2KH  ,LLBG,,,,737NG 8F2/W,B738,TC-JFM
4ba9aa,1662074847.0,,1662076407,,THY6FK  ,,,LTBA,,A321 231,A321,TC-JMJ
4bb846,1662065556.0,,1662066988,,PGT656  ,LTFJ,,,,A320 251NSL,A20N,TC-NBF
4caca6,1662057599.0,1662057600.0,1662076226,1662076225.0,BCS542  ,LIMC,LIMC,OBBI,OBBI,,,
70612d,1662036042.0,,1662063347,,JZR022  ,LOWW,,,,Airbus A320-251N,A20N,9K-CBG
70620a,1662004179.0,,1662005085,,JZR1302 ,,,,,A320 214,A320,9K-CAI
71bf19,1662074708.0,,1662076225,,JNA305  ,RKSS,,,,737NG 9B5,B739,HL7719
750239,1662025010.0,,1662026898,,AXM6455 ,,,,,A320 216,A320,9M-AQB
7609ec,1662075205.0,,1662076558,,PIA284  ,OMDB,,,,A320-214 ,A320,AP-BOL 
8681b1,1662067004.0,,1662068362,,SKY549  ,RJGG,,,,737NG 86N/W,B738,JA73NK
8991c0,1662041703.0,,1662045628,,CAL928  ,VHHH,,,,A330 302,A333,B-18353
a02d0c,1662063708.0,,1662064385,,AMX936  ,,,,,737-8,,N110JS
a16714,1662073908.0,,1662074920,,N19NX   ,,,,,PC-12/47E,,N19NX
a23127,1662057958.0,,1662059248,,N240MW  ,KEOP,,91OI,,PC-24,,N240MW
a1a98d,1662071063.0,,1662073694,,AAY7    ,KLAS,,,,A320-214,,N206NV
a37845,1662014307.0,,1662015676,,N3221M  ,KAPA,,,,C90A,BE9L,N3221M
a2f092,1662071037.0,,1662076705,,ENY3387 ,KORD,,VT03,,ERJ 170-200 LR,E170,N289MW
a3ed69,1662068649.0,,1662073611,,DAL2477 ,KATL,,,,A319-114,A319,N352NB
a4affb,1662075790.0,,1662076497,,N4007N  ,29GA,,KFFC,,120,,N4007N
a4e4a3,1662069395.0,,1662076767,,SKW3451 ,KSEA,,KSBP,,ERJ 170-200 LR,,N414SY
a68e4f,1662034160.0,,1662035026,,TAI579  ,MGGT,,,,A319-132,A319,N521TA
a79821,1662061497.0,,1662067859,,JBU1759 ,KJFK,,,,A320-232,A320,N589JB
a6b59e,1662056805.0,,1662061603,,N531RC  ,KLAX,,,,GULFSTREAM G280,G280,N531RC
a82b8e,1662075489.0,,1662076462,,N62527  ,88WI,,KGRB,,172P,,N62527
a7d01c,1662073510.0,,1662076228,,EJA602  ,,,2MI5,,560XL,C56X,N602QS
a96035,1662045237.0,,1662045954,,TSU8135 ,KMIA,,,,ATR 72-212A,,N703FE
aa56b5,1662047584.0,,1662048679,,UAL1111 ,KSFO,,,,737-824,B738,N76516
ad002c,1662040893.0,,1662043887,,CFS8678 ,KPDX,,,,208B,C208,N937FE
ad6d03,1662074360.0,,1662076243,,SWA2415 ,KPBI,,KMCO,,737-7H4,B737,N964WN
acb950,1662071553.0,,1662076257,,NKS3805 ,,,KDTW,,A320-271N,,N919NK
ae111a,1662074743.0,,1662076753,,CASH15  ,,,KLBB,,T-6A Texan II,TEX2,02-3638
c02ec7,1662003368.0,,1662037031,,ACA090  ,CYYZ,,SBMT,,787-9 (Boeing),B789,C-FRSO
e4905c,1662063380.0,,1662064585,,PPNBB   ,,,,,Phenom 300,E55P,PP-NBB
e4917d,1661996436.0,,1661998138,,AZU2874 ,,,,,ATR 72 600,AT76,PR-AQZ
01023d,1662055683.0,,1662065204,,MSC3608 ,EPKT,,,,,,
0200f8,1662069764.0,,1662070577,,RAM1420 ,GMMN,,,,737NG 8B6/W,B738,CN-RGJ
03003d,1662044181.0,,1662044998,,BP206   ,FAOR,,,,ATR-72-600 (212A),AT76,A2-ABK
15200b,1662069492.0,,1662074087,,AFL1424 ,UUEE,,,,Airbus A320-214,A320,RA-73739
15204f,1662069040.0,,1662073475,,SVR2549 ,UUDD,,,,Airbus A320-214,A320,RA-73807
151e51,1662064054.0,,1662070876,,PBD559  ,ULLI,,,,Boeing 737-8LJ,B738,RA-73297
151eea,1662052044.0,,1662053148,,SBI6337 ,UIII,,,,,,RA-73450
0d0d8d,1662075322.0,,1662075979,,VOI274  ,,,,,Airbus A320-271N,A20N,XA-VSH
47a1ef,1662060408.0,,1662067823,,NOZ1039 ,EPKK,,,,,B738,LN-ENS
3e1212,1662074519.0,,1662076638,,CHR71   ,,,EDBZ,,Airbus Helicopters H145,EC45,D-HYAS
4d2215,1662057638.0,1662057647.0,1662059186,,RYR3NN  ,LIRA,LIRA,,LIEE,737 8AS,B738,9H-QBS
4d2259,1662069034.0,,1662071602,,RYR2SD  ,LIRF,,,,Boeing 737-8AS,B738,9H-QBB
4cc2a7,1662048408.0,,1662055377,,ICE3K   ,EDDF,,,,757 208/W,B752,TF-FIP
710060,1662071022.0,,1662076360,,SVA724  ,OERK,,,,777 368ER,B77W,HZ-AK21
77044d,1662071168.0,,1662073858,,ALK174  ,VOBL,,,,A320-214,A320,4R-ABM
780fda,1662014157.0,1662014165.0,1662035187,,CCA582  ,EDDF,EDDF,,ZBAA,787 9,B789,B-7878
888095,1662043857.0,,1662044638,,VJC251  ,,,,,A320 214,A320,VN-A666
888172,1662038241.0,,1662040221,,VJC463  ,,,,,A-321-211,A321,VN-A628
8880ea,1662075086.0,,1662076429,,VJC166  ,,,VVGL,,A320 214SL,A320,VN-A655
a2112e,1662071333.0,,1662076229,,AAY1200 ,KSFB,,,,A320-214,A320,N232NV
a3a234,1662049124.0,,1662053457,,AAY2812 ,PN62,,GA43,,A319-111,,N333NV
a3a5ec,1662069982.0,,1662071156,,DAL2443 ,KATL,,,,A320-212,A320,N334NW
a4fbd9,1662073743.0,,1662076209,,N420CH  ,,,KBFI,,Citation CJ3,C25B,N420CH
a700b0,1662056229.0,,1662065420,,N550P   ,KMOD,,,,GLASAIR-III,,N550P
a6aa6e,1662072316.0,,1662074180,,ASA51   ,PANC,,,,737-890,B738,N529AS
a8dff1,1662066637.0,,1662070768,,FDX735  ,,,,,A300 F4-605R,A306,N671FE
a9f123,1662058459.0,,1662061679,,N74KS   ,,,,,B300,B350,N74KS
ab1d5e,1662067872.0,,1662071776,,EJA815  ,KIAD,,,,700,H25B,N815QS
aaa32d,1662032896.0,,1662060504,,AVA017  ,LEMD,,,,787-8,B788,N785AV
aba76c,1662075476.0,,1662076413,,N850AV  ,KCMA,,KCMA,,TBM 700,TBM8,N850AV
ad5369,1662069163.0,,1662073640,,ASH5739 ,KDFW,,,,CL-600-2D24,CRJ9,N958LR
ad7228,1662075533.0,,1662076707,,CAP2148 ,KMIC,,KPNM,,172P,,N96579
ad6ec5,1661990406.0,,1662002747,,AMX403  ,,,,,787-8,B788,N965AM
ad8a80,1662073684.0,,1662076467,,N97154  ,KCRQ,,KCRQ,,,,
accd23,1662050874.0,,1662062388,,N924BD  ,,,39IA,,400A,,N924BD
ae1e7c,1662066846.0,,1662068328,,BB030   ,KNSE,,MS66,,T-6B Texan II,TEX2,166030
