icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model, typecode, registration
502d3e,1662035057.0,1662035058.0,1662040618,1662040568.0,BTI3BP  ,EETN,EETN,EDDB,EDDB,A220-300,BCS3,YL-AAZ
502d3e,1662018441.0,,1662026305,,BTI4XH  ,EDDM,,EETN,,A220-300,BCS3,YL-AAZ
502d3e,1662006788.0,,1662014391,,BTI78F  ,EETN,,EDDM,,A220-300,BCS3,YL-AAZ
502cd7,1662048137.0,,1662058289,,BTI636  ,,,EVEA,,Airbus A220-300,BCS3,YL-CSH
502cd7,1662031553.0,,1662042260,,BTI635  ,,EVRA,,LGIR,Airbus A220-300,BCS3,YL-CSH
502cd7,1662021101.0,1662021102.0,1662027456,,BTI7EG  ,EDDF,EDDF,EVEA,EVRA,Airbus A220-300,BCS3,YL-CSH
502cd7,1662008777.0,,1662015793,1662015791.0,BTI83L  ,,EVRA,EDDF,EDDF,Airbus A220-300,BCS3,YL-CSH
502cd7,1661999181.0,,1662001376,,BTI32M  ,EFHK,,,,Airbus A220-300,BCS3,YL-CSH
5082f0,1662021594.0,,1662026860,,AUI6522 ,,,EPKT,,737NG 94XER,B739,UR-PSL
5082f0,1662011167.0,,1662015865,,AUI6521 ,EPKT,,,,737NG 94XER,B739,UR-PSL
4b377d,1662051141.0,,1662054470,,HUE007  ,LFRN,,EGKB,,EMB-505 Phenom 300E,E55P,HB-VAJ
4b377d,1662024093.0,1662024094.0,1662026548,1662026723.0,HUE007  ,EGKB,EGKB,LFRN,LFRN,EMB-505 Phenom 300E,E55P,HB-VAJ
4b377d,1662015934.0,1662015829.0,1662020698,1662020697.0,HUE007  ,LSGK,LSGK,EGKB,EGKB,EMB-505 Phenom 300E,E55P,HB-VAJ
4ab114,1662050183.0,,1662051111,,SELHT   ,ESOK,,ESOK,,Piper PA-28-161,P28A,SE-LHT
4ab554,1662050455.0,,1662054568,,SEMJT   ,EGCC,,EHRD,,Pilatus PC-12 NGX,PC12,SE-MJT
4ab554,1662034978.0,1662034979.0,1662039346,1662039345.0,SEMJT   ,EHRD,EHRD,EGCC,EGCC,Pilatus PC-12 NGX,PC12,SE-MJT
4ac962,1662057942.0,,1662061637,,NVR9772 ,EKBI,,ESSA,,A321 251NSL,A21N,SE-RKB
4ac962,1662039998.0,,1662054436,,NVR772  ,,,EKBI,,A321 251NSL,A21N,SE-RKB
4ac962,1662017106.0,1662017110.0,1662033819,,NVR769  ,EKCH,EKCH,,GCFV,A321 251NSL,A21N,SE-RKB
4ac962,1661990404.0,,1661992815,1661992765.0,NVR712  ,,LGSA,EKCH,EKCH,A321 251NSL,A21N,SE-RKB
4ac8da,1661992435.0,,1662021119,,TOM173  ,,,EGCC,,,,
4bb872,1662072165.0,,1662075364,1662075425.0,PGT787  ,,LTAI,LLBG,LLBG,A320-251N,A20N,TC-NCR
4bb872,1662063593.0,,1662066865,,PGT89T  ,OLBA,,LTAI,,A320-251N,A20N,TC-NCR
4bb872,1662048053.0,,1662050697,,PGT65M  ,,,OLBA,,A320-251N,A20N,TC-NCR
4bb872,1662030480.0,1662030481.0,1662042508,,PGT50A  ,EGSS,EGSS,,LTAI,A320-251N,A20N,TC-NCR
4bb872,1662011940.0,,1662025730,,PGT77H  ,,,EGSS,,A320-251N,A20N,TC-NCR
4bb872,1662001258.0,,1662004239,,PGT53A  ,LLBG,,,,A320-251N,A20N,TC-NCR
4baad5,1662060825.0,,1662065109,,THY1UT  ,LUKK,,LTBA,,737NG 8F2/W,B738,TC-JVU
4baad5,1662052447.0,,1662055708,,THY13CD ,LTFM,,LUKK,,737NG 8F2/W,B738,TC-JVU
4baad5,1662044500.0,,1662046853,,THY61AK ,,,LTFM,,737NG 8F2/W,B738,TC-JVU
4baad5,1662032550.0,,1662034349,,THY7BU  ,LTFM,,,,737NG 8F2/W,B738,TC-JVU
4baad5,1662019062.0,,1662022130,,THY3WG  ,,,LTFM,,737NG 8F2/W,B738,TC-JVU
4baad5,1662009573.0,,1662010957,,THY43MU ,,,,,737NG 8F2/W,B738,TC-JVU
4bcdd4,1662039810.0,,1662052586,1662052585.0,SXS77J  ,,LTBJ,EGGW,EGGW,737NG 8HC/W,B738,TC-SNT
4bcdd4,1662024180.0,1662024182.0,1662033595,,SXS26E  ,EDDL,EDDL,,LTBJ,737NG 8HC/W,B738,TC-SNT
4bcdd4,1662004654.0,,1662015415,,SXS6Z   ,,,EDDL,,737NG 8HC/W,B738,TC-SNT
4d212b,1661999650.0,,1662002309,,HMJ209  ,,,,,Falcon 10 100,FA10,9H-SSG
4d224c,1662070749.0,,1662075725,,RYR7AC  ,,,LIME,,Boeing 737-8AS (W),B738,9H-QAT
4d224c,1662060759.0,1662060734.0,1662065350,,RYR4671 ,LIME,LIME,,LYNI,Boeing 737-8AS (W),B738,9H-QAT
4d224c,1662052733.0,1662052627.0,1662057440,1662057448.0,RYR76HZ ,LRTR,LRTR,LIME,LIME,Boeing 737-8AS (W),B738,9H-QAT
4d224c,1662044470.0,,1662049117,,RYR3HF  ,LIME,,LRTR,,Boeing 737-8AS (W),B738,9H-QAT
4d224c,1662030781.0,,1662040308,,RYR9XW  ,,,LIME,,Boeing 737-8AS (W),B738,9H-QAT
4d224c,1662008322.0,,1662018769,,RYR6091 ,LIME,,,,Boeing 737-8AS (W),B738,9H-QAT
4d22c2,1662071771.0,1662071772.0,1662073183,,RYR8PD  ,LEPA,LEPA,,LEVC,Airbus A320-232,A320,9H-IHL
4d22c2,1662059857.0,,1662067687,,RYR6ZR  ,EDDB,,LEPA,,Airbus A320-232,A320,9H-IHL
4d22c2,1662048183.0,,1662056239,,RYR81ZU ,LEPA,,EDDB,,Airbus A320-232,A320,9H-IHL
4d22c2,1662040421.0,,1662043924,,RYR2169 ,,,LEPA,,Airbus A320-232,A320,9H-IHL
4d22c2,1662032784.0,1662032785.0,1662036261,,RYR2RW  ,LEPA,LEPA,,LEVD,Airbus A320-232,A320,9H-IHL
4d22c2,1662019186.0,1662019187.0,1662027444,1662027460.0,RYR38YH ,EDDB,EDDB,LEPA,LEPA,Airbus A320-232,A320,9H-IHL
4d22c2,1662008082.0,,1662016106,,RYR18KD ,LEPA,,EDDB,,Airbus A320-232,A320,9H-IHL
4ca782,1662032311.0,1662032312.0,1662054551,1662054598.0,EIN13J  ,EIDW,EIDW,KBOS,KBOS,A330-302,A333,EI-EDY
4ca782,1661998836.0,,1662023570,,EIN124  ,KORD,,EIDW,,A330-302,A333,EI-EDY
4ca9a9,1662063982.0,,1662074373,,RYR7149 ,EYVI,,EIDW,,Boeing 737 MAX 8-200,B38M,EI-HAX
4ca9a9,1662050859.0,,1662060446,,RYR1CW  ,EIDW,,EYVI,,Boeing 737 MAX 8-200,B38M,EI-HAX
4ca9a9,1662041075.0,1662041076.0,1662047453,1662047452.0,RYR43NN ,LSZM,LFSB,EIDW,EIDW,Boeing 737 MAX 8-200,B38M,EI-HAX
4ca9a9,1662030822.0,1662030829.0,1662037091,1662037090.0,RYR11ZC ,EIDW,EIDW,LSZM,LFSB,Boeing 737 MAX 8-200,B38M,EI-HAX
4ca9a9,1662021536.0,,1662027598,,RYR6TP  ,LFBD,,EIDW,,Boeing 737 MAX 8-200,B38M,EI-HAX
4ca9a9,1662013233.0,,1662018689,,RYR9606 ,EIDW,,LFBD,,Boeing 737 MAX 8-200,B38M,EI-HAX
4cc564,1662027871.0,,1662057085,1662056996.0,FPY53   ,,BIKF,LKPR,LKPR,,,
4cc564,1662020021.0,,1662021889,,FPY62   ,,,,,,,
710104,1662012654.0,,1662046914,,SVA021  ,,,KJFK,,777 368ER,B77W,HZ-AK26
728826,1662064523.0,,1662065847,,FBA233  ,,,LTBA,,Boeing 737-8EH,B738,YI-BAF
71be24,1662041765.0,,1662068861,,KAL233  ,,,PANC,,747 8B5F,B748,HL7624
71be24,1662005576.0,,1662012484,,KAL262  ,,,RKSI,,747 8B5F,B748,HL7624
71bf01,1662009294.0,,1662016016,,KAL704  ,,,RKSI,,Airbus A330-323,A333,HL7701
71bf01,1661996288.0,,1662002067,,KAL703  ,RKSI,,,,Airbus A330-323,A333,HL7701
71bf45,1662024293.0,,1662030907,,ABL8894 ,,,RKSS,,A320 232,A320,HL7745
71bf89,1662063672.0,,1662073574,,ASV528  ,,,RKSI,,A321 231,A321,HL7789
